Country,In Operation,Under Construction,Shutdown
UNITED STATES OF AMERICA,94,0,41
FRANCE,57,0,14
CHINA,57,28,0
RUSSIA,36,4,11
KOREA REPUBLIC OF,26,2,2
CANADA,17,0,8
UKRAINE,15,2,4
UNITED KINGDOM,9,2,36
SPAIN,7,0,3
INDIA,21,6,0
JAPAN,14,2,27
GERMANY,0,0,33
SWEDEN,6,0,7
BELGIUM,4,0,4
SWITZERLAND,4,0,2
FINLAND,5,0,0
CZECH REPUBLIC,6,0,0
SLOVAKIA,5,1,3
HUNGARY,4,0,0
BULGARIA,2,0,4
ROMANIA,2,0,0
SOUTH AFRICA,2,0,0
ARGENTINA,3,1,0
BRAZIL,2,1,0
MEXICO,2,0,0
PAKISTAN,6,1,1
IRAN ISLAMIC REPUBLIC OF,1,1,0
ARMENIA,1,0,1
SLOVENIA,1,0,0
NETHERLANDS KINGDOM OF THE,1,0,1
UNITED ARAB EMIRATES,4,0,0
BELARUS,2,0,0
BANGLADESH,0,2,0
EGYPT,0,4,0
TÃœRKIYE,0,4,0
